timestamp_ms,elapsed_ms,ram_mb,cpu_percent
1749851704664,3010,5,1.53
1749851705163,3509,6,5.75
1749851705663,4009,6,1.71
1749851706163,4509,7,8.44
1749851706663,5009,7,1.03
1749851707163,5509,7,1.07
1749851707663,6009,7,1.04
1749851708163,6509,7,1.07
1749851708664,7010,7,1.05
1749851712101,10447,6,1.14
1749851712601,10947,6,0.99
1749851713101,11447,6,0.89
1749851713601,11947,6,0.89
1749851714101,12447,6,0.96
1749851714601,12947,6,0.84
1749851715101,13447,6,0.90
1749851715601,13947,6,0.96
1749851716100,14446,6,0.99
1749851716602,14948,6,0.97
1749851717101,15447,6,0.98
1749851717601,15947,6,0.95
1749851718102,16448,6,0.96
1749851718601,16947,6,0.96
1749851719102,17448,6,1.00
1749851719601,17947,6,0.97
1749851720102,18448,6,0.96
1749851720601,18947,6,0.98
1749851721101,19447,6,0.99
1749851721601,19947,6,0.97
1749851722101,20447,6,1.02
1749851722601,20947,6,0.94
1749851723101,21447,7,0.87
1749851723601,21947,7,0.97
1749851724101,22447,7,0.99
1749851724601,22947,7,0.96
1749851725101,23447,7,0.95
1749851725601,23947,7,0.97
1749851726102,24448,6,1.07
1749851726602,24948,6,0.94
1749851727102,25448,6,0.96
1749851727602,25948,6,0.96
1749851728102,26448,6,0.97
1749851728602,26948,6,0.96
1749851729101,27447,6,0.99
1749851729602,27948,6,0.84
1749851730102,28448,6,0.95
1749851730602,28948,6,0.97
1749851731102,29448,6,0.93
1749851731603,29949,6,0.89
1749851732103,30449,6,1.04
1749851732603,30949,6,0.96
1749851733103,31449,6,0.97
1749851733603,31949,6,0.97
1749851734104,32450,6,0.97
1749851734604,32950,6,0.96
1749851735104,33450,5,1.94
1749851735604,33950,5,1.70
1749851736104,34450,5,0.99
1749851736604,34950,5,0.97
1749851737104,35450,5,0.95
1749851737604,35950,5,0.93
1749851738105,36451,5,0.94
1749851738605,36951,5,0.93
1749851739105,37451,5,0.95
1749851739605,37951,5,0.96
1749851740105,38451,5,0.94
1749851740605,38951,5,0.97
1749851741106,39452,5,0.97
1749851741605,39951,5,0.95
1749851742105,40451,5,0.95
1749851742605,40951,5,0.96
1749851743105,41451,5,0.98
1749851743605,41951,5,0.94
1749851747039,45385,5,0.99
1749851747539,45885,5,0.94
1749851748039,46385,5,0.97
1749851748540,46886,5,0.94
1749851749040,47386,5,0.97
1749851749540,47886,5,0.94
1749851750040,48386,5,0.96
1749851750540,48886,5,0.95
1749851751039,49385,5,0.98
1749851751539,49885,5,0.95
1749851752040,50386,5,0.95
1749851752539,50885,5,0.93
1749851753040,51386,5,0.96
1749851753540,51886,5,0.94
1749851754039,52385,5,0.95
1749851754539,52885,5,0.95
1749851755039,53385,5,0.95
1749851755540,53886,6,0.96
1749851756039,54385,6,0.97
1749851756539,54885,6,0.95
1749851757040,55386,5,1.05
1749851757540,55886,5,0.93
1749851758040,56386,5,0.94
1749851758541,56887,5,0.94
1749851759041,57387,5,0.92
1749851759541,57887,5,0.94
1749851760041,58387,5,0.96
1749851760542,58888,5,0.93
1749851761042,59388,5,0.97
1749851761542,59888,5,0.94
1749851762042,60388,5,0.96
1749851762542,60888,5,0.96
1749851763043,61389,5,0.97
1749851763542,61888,5,0.95
1749851764042,62388,5,0.95
1749851764543,62889,5,0.94
1749851765043,63389,5,0.94
1749851765542,63888,5,0.97
1749851766042,64388,5,0.94
1749851766543,64889,5,0.96
1749851767042,65388,5,1.25
1749851767542,65888,6,1.60
1749851768042,66388,5,1.46
1749851768543,66889,5,1.08
1749851769042,67388,6,1.46
1749851769543,67889,6,0.99
1749851770042,68388,6,0.96
1749851770543,68889,6,0.99
1749851771043,69389,6,0.97
1749851771543,69889,6,1.11
1749851772042,70388,6,5.88
1749851772543,70889,6,0.97
1749851773042,71388,6,0.98
1749851773542,71888,6,0.97
1749851774042,72388,6,0.98
1749851774543,72889,6,0.96
1749851775042,73388,6,1.01
1749851775542,73888,6,0.97
1749851776042,74388,6,1.07
1749851776543,74889,6,0.97
1749851777042,75388,6,1.07
1749851777542,75888,6,1.00
1749851778042,76388,6,0.98
1749851778542,76888,6,0.97
1749851779042,77388,6,0.86
1749851782476,80822,6,0.97
1749851782976,81322,6,1.01
1749851783475,81821,6,0.97
1749851783976,82322,6,0.95
1749851784476,82822,6,0.97
1749851784976,83322,6,0.96
1749851785476,83822,6,0.97
1749851785975,84321,6,0.97
1749851786476,84822,6,0.97
1749851786977,85323,6,1.02
1749851787475,85821,6,0.97
1749851787975,86321,6,0.97
1749851788475,86821,6,0.98
1749851788975,87321,6,0.97
1749851789476,87822,6,1.06
1749851789977,88323,6,1.01
1749851790477,88823,6,1.04
1749851790976,89322,6,1.02
1749851791476,89822,6,0.99
1749851791977,90323,6,0.96
1749851792477,90823,6,0.96
1749851792977,91323,6,0.94
1749851793476,91822,6,0.98
1749851793977,92323,6,0.97
1749851794477,92823,6,0.96
1749851794977,93323,6,1.02
1749851795478,93824,6,0.97
1749851795978,94324,6,0.95
1749851796477,94823,6,0.97
1749851796977,95323,6,0.96
1749851797478,95824,6,0.96
1749851797977,96323,6,1.00
1749851798478,96824,6,1.01
