timestamp_ms,elapsed_ms,ram_mb,cpu_percent
1749943834150,3015,5,1.58
1749943834650,3515,6,5.53
1749943835150,4015,6,1.65
1749943835650,4515,7,8.00
1749943836150,5015,7,0.97
1749943836650,5515,7,0.98
1749943837150,6015,7,0.97
1749943837650,6515,7,1.02
1749943838152,7017,7,0.97
1749943838652,7517,6,1.20
1749943839152,8017,6,0.92
1749943839652,8517,6,1.04
1749943840152,9017,6,1.29
1749943840652,9517,6,0.92
1749943841152,10017,6,0.89
1749943841652,10517,6,0.92
1749943842152,11017,6,1.12
1749943842652,11517,6,1.16
1749943843152,12017,6,1.01
1749943843652,12517,6,0.91
1749943844152,13017,6,0.90
1749943844653,13518,6,0.91
1749943845152,14017,6,1.07
1749943845653,14518,6,1.09
1749943846152,15017,6,0.95
1749943846652,15517,6,0.94
1749943847152,16017,6,0.89
1749943847652,16517,6,0.91
1749943848152,17017,6,1.00
1749943848652,17517,6,1.08
1749943849152,18017,6,1.01
1749943849652,18517,6,0.99
1749943850152,19017,7,0.86
1749943850652,19517,7,0.91
1749943851152,20017,7,0.96
1749943851652,20517,7,0.95
1749943852152,21017,7,0.88
1749943852652,21517,7,0.88
1749943853152,22017,6,0.96
1749943853652,22517,6,0.90
1749943854152,23017,6,0.91
1749943854653,23518,6,0.88
1749943858085,26950,6,0.91
1749943858585,27450,6,1.08
1749943859086,27951,6,0.87
1749943859585,28450,6,0.86
1749943860085,28950,6,0.95
1749943860585,29450,6,0.90
1749943861086,29951,6,0.92
1749943861586,30451,6,0.90
1749943862086,30951,6,0.98
1749943862587,31452,6,0.88
1749943863086,31951,6,1.07
1749943863587,32452,6,1.01
1749943864086,32951,6,1.08
1749943864587,33452,5,1.91
1749943865087,33952,5,1.65
1749943865587,34452,5,0.89
1749943866088,34953,5,0.97
1749943866588,35453,5,1.03
1749943867087,35952,5,1.03
1749943867587,36452,5,0.89
1749943868087,36952,5,1.20
1749943868588,37453,5,1.48
1749943869088,37953,5,1.31
1749943869588,38453,5,1.72
1749943870088,38953,5,0.95
1749943870588,39453,5,0.87
1749943871088,39953,5,0.89
1749943871589,40454,5,0.91
1749943872089,40954,5,0.96
1749943872589,41454,5,1.09
1749943873088,41953,5,0.95
1749943873588,42453,5,1.04
1749943874089,42954,5,1.01
1749943874589,43454,5,0.90
1749943875088,43953,5,0.89
1749943875589,44454,5,0.94
1749943876090,44955,5,1.00
1749943876589,45454,5,1.36
1749943877090,45955,5,1.03
1749943877590,46455,6,1.33
1749943878090,46955,6,0.92
1749943878589,47454,6,0.98
1749943879089,47954,5,0.97
1749943879590,48455,5,1.02
1749943880090,48955,5,0.93
1749943880590,49455,5,0.91
1749943881089,49954,5,0.90
1749943881589,50454,5,1.03
1749943882090,50955,5,0.98
1749943882590,51455,5,1.15
1749943883090,51955,5,0.98
1749943883590,52455,5,0.91
1749943884090,52955,5,0.97
1749943884591,53456,5,0.95
1749943885091,53956,5,0.94
1749943885590,54455,5,0.97
1749943886090,54955,5,1.06
1749943886591,55456,6,0.99
1749943887091,55956,6,1.03
1749943887591,56456,6,0.95
1749943888091,56956,6,0.97
1749943888593,57458,6,1.07
1749943889092,57957,6,1.21
1749943889593,58458,6,1.24
1749943890092,58957,6,0.97
1749943893526,62391,6,0.94
1749943894026,62891,5,1.00
1749943894527,63392,5,0.92
1749943895026,63891,5,0.89
1749943895527,64392,5,0.90
1749943896026,64891,5,0.94
1749943896526,65391,5,0.92
1749943897027,65892,5,1.14
1749943897526,66391,5,0.95
1749943898027,66892,5,1.00
1749943898527,67392,5,0.89
1749943899026,67891,5,0.93
1749943899526,68391,5,0.95
1749943900027,68892,6,0.98
1749943900526,69391,6,0.93
1749943901026,69891,6,1.07
1749943901526,70391,6,6.33
1749943902027,70892,6,0.95
1749943902527,71392,6,0.92
1749943903028,71893,6,0.90
1749943903528,72393,6,0.93
1749943904027,72892,6,1.45
1749943904527,73392,6,0.85
1749943905028,73893,6,0.89
1749943905527,74392,6,1.40
1749943906027,74892,6,0.87
1749943906527,75392,6,1.02
