timestamp_ms,elapsed_ms,ram_mb,cpu_percent
1749942163530,3010,5,1.53
1749942164029,3509,6,5.46
1749942164529,4009,6,1.52
1749942165029,4509,7,8.55
1749942165530,5010,7,1.00
1749942166030,5510,7,1.05
1749942169464,8944,7,1.08
1749942169963,9443,7,1.17
1749942170464,9944,7,1.04
1749942170964,10444,7,1.10
1749942171464,10944,7,0.97
1749942171964,11444,7,0.96
1749942172464,11944,7,0.96
1749942172964,12444,7,0.99
1749942173464,12944,6,1.11
1749942173964,13444,6,0.95
1749942174465,13945,6,1.01
1749942174965,14445,6,0.96
1749942175466,14946,6,0.94
1749942175966,15446,6,0.95
1749942176466,15946,6,0.94
1749942176966,16446,6,0.98
1749942177467,16947,6,0.93
1749942177966,17446,6,0.88
1749942178467,17947,6,0.92
1749942178968,18448,6,0.90
1749942179468,18948,6,0.90
1749942179968,19448,6,0.94
1749942180468,19948,6,0.93
1749942180968,20448,6,0.95
1749942181468,20948,6,0.98
1749942181968,21448,6,0.92
1749942182468,21948,6,0.97
1749942182968,22448,6,0.94
1749942183468,22948,6,0.96
1749942183968,23448,6,0.95
1749942184468,23948,6,0.95
1749942184968,24448,7,0.99
1749942185468,24948,7,0.95
1749942185968,25448,7,0.94
1749942186468,25948,7,0.95
1749942186969,26449,7,1.05
1749942187469,26949,6,1.01
1749942187970,27450,6,0.95
1749942188470,27950,6,0.92
1749942188970,28450,6,0.92
1749942189471,28951,6,0.96
1749942189970,29450,6,0.97
1749942190470,29950,6,0.95
1749942190970,30450,6,0.93
1749942191470,30950,6,0.99
1749942191970,31450,6,0.94
1749942192470,31950,6,0.94
1749942192970,32450,6,0.92
1749942193470,32950,6,0.93
1749942193971,33451,5,2.02
1749942194471,33951,5,1.78
1749942194971,34451,5,1.34
1749942195471,34951,5,1.51
1749942195971,35451,5,1.38
1749942196470,35950,5,1.63
1749942196970,36450,5,1.06
1749942197470,36950,5,1.01
1749942197970,37450,5,1.01
1749942198470,37950,5,0.99
1749942198970,38450,5,0.98
1749942199470,38950,5,1.00
1749942199970,39450,5,0.99
1749942200470,39950,5,0.98
1749942200970,40450,5,0.97
1749942204404,43884,5,0.99
1749942204904,44384,5,0.99
1749942205404,44884,5,0.98
1749942205904,45384,5,0.99
1749942206404,45884,5,0.97
1749942206904,46384,5,1.00
1749942207404,46884,5,1.00
1749942207904,47384,5,1.02
1749942208404,47884,6,1.05
1749942208904,48384,6,1.01
1749942209404,48884,6,0.99
1749942209904,49384,6,1.05
1749942210404,49884,5,1.09
1749942210904,50384,5,1.22
1749942211404,50884,5,1.03
1749942211904,51384,5,1.04
1749942212404,51884,5,1.03
1749942212905,52385,5,1.00
1749942213405,52885,5,1.02
1749942213905,53385,5,1.03
1749942214406,53886,5,1.05
1749942214906,54386,5,1.01
1749942215406,54886,5,1.03
1749942215906,55386,5,1.07
1749942216406,55886,5,1.02
1749942216906,56386,5,1.03
1749942217406,56886,5,1.04
1749942217906,57386,6,1.04
1749942218406,57886,6,1.10
1749942218906,58386,6,1.06
1749942219406,58886,6,1.04
1749942219906,59386,6,1.02
1749942220406,59886,6,1.02
1749942220906,60386,6,1.04
1749942221406,60886,6,1.04
1749942221906,61386,6,1.01
1749942222406,61886,6,1.04
1749942222906,62386,5,1.09
1749942223406,62886,5,1.03
1749942223906,63386,5,1.06
1749942224406,63886,5,1.03
1749942224906,64386,5,1.00
1749942225406,64886,5,1.01
1749942225906,65386,5,1.03
1749942226405,65885,5,1.19
1749942226906,66386,5,1.06
1749942227406,66886,5,1.07
1749942227906,67386,5,1.02
1749942228406,67886,5,1.05
1749942228906,68386,6,1.03
1749942229406,68886,6,1.20
1749942229905,69385,6,1.02
1749942230406,69886,6,1.24
1749942230906,70386,6,6.18
1749942231406,70886,6,1.07
1749942231906,71386,6,1.05
1749942232406,71886,6,1.05
1749942232906,72386,6,1.00
1749942233406,72886,6,1.06
1749942233906,73386,6,1.01
1749942234407,73887,6,1.01
1749942234908,74388,6,1.18
1749942235407,74887,6,1.04
1749942235907,75387,6,1.29
1749942236408,75888,6,1.33
1749942239841,79321,6,1.43
1749942240341,79821,6,1.75
1749942240841,80321,6,1.06
1749942241342,80822,6,1.08
1749942241841,81321,6,1.08
1749942242341,81821,6,1.02
1749942242841,82321,6,1.06
1749942243341,82821,7,1.05
1749942243841,83321,6,1.14
1749942244341,83821,6,1.07
1749942244842,84322,6,1.06
1749942245341,84821,6,1.06
1749942245841,85321,6,1.11
1749942246341,85821,6,1.06
1749942246842,86322,6,1.04
1749942247343,86823,6,1.02
1749942247842,87322,6,1.04
1749942248342,87822,6,1.05
1749942248842,88322,6,1.02
1749942249343,88823,6,1.35
1749942249842,89322,6,1.11
1749942250342,89822,6,1.04
1749942250842,90322,7,1.03
1749942251342,90822,7,1.06
1749942251842,91322,6,1.13
1749942252342,91822,6,1.01
1749942252842,92322,6,0.95
1749942253342,92822,6,0.95
1749942253842,93322,6,1.00
1749942254343,93823,6,1.05
1749942254842,94322,6,1.02
1749942255342,94822,6,1.06
1749942255842,95322,6,0.94
1749942256343,95823,6,0.94
1749942256843,96323,6,1.01
1749942257343,96823,6,1.04
1749942257843,97323,6,1.10
1749942258343,97823,6,1.04
1749942258843,98323,7,1.02
1749942259343,98823,7,1.07
1749942259843,99323,7,1.06
1749942260344,99824,7,1.02
1749942260844,100324,7,1.08
1749942261343,100823,6,1.10
1749942261843,101323,6,1.14
1749942262343,101823,6,1.00
1749942262843,102323,6,1.03
1749942263343,102823,6,1.05
