issueCount,syncInterval,run,createTTVF,updateTTVF
5,none,1,0,1282.9270599999
5,none,1,0,1285.0065440000035
5,none,1,0,1279.9426639999729
5,none,1,0,1280.8741399999708
5,none,1,0,1282.2095979999285
5,none,1,0,1282.2562789998483
5,none,1,0,1279.333896000171
5,none,1,0,1283.263074999908
5,none,1,0,1281.5593110001646
5,none,1,0,1280.81973200012
5,none,1,0,1280.5385620000307
5,none,1,0,1282.2471229999792
5,none,1,0,1283.2477229998913
5,none,1,0,1282.5107909999788
5,none,1,0,1784.9707209998742
5,none,1,0,1282.9931080001406
5,none,1,0,1280.8151680000592
5,none,1,0,1280.22755099996
5,none,1,0,1283.5656019998714
5,none,1,0,1280.5724019999616
5,none,2,0,1279.3846810001414
5,none,2,0,1284.7485189998988
5,none,2,0,1284.2186300000176
5,none,2,0,1282.2036109999754
5,none,2,0,1281.6692050001584
5,none,2,0,1284.594936999958
5,none,2,0,1286.518367999699
5,none,2,0,1784.528128999751
5,none,2,0,1280.1577580003068
5,none,2,0,1280.699935999699
5,none,2,0,1281.6231619999744
5,none,2,0,1286.9514049999416
5,none,2,0,1285.5749319996685
5,none,2,0,1282.0102280001156
5,none,2,0,1283.3595639998093
5,none,2,0,1285.9654439999722
5,none,2,0,1284.7689820001833
5,none,2,0,1289.271875999868
5,none,2,0,1782.51822800003
5,none,2,0,1279.179375000298
5,none,3,0,1283.1359049999155
5,none,3,0,1283.5347090000287
5,none,3,0,1282.9061069996096
5,none,3,0,1279.4934330000542
5,none,3,0,1279.755134999752
5,none,3,0,1280.886169000063
5,none,3,0,1282.4396480000578
5,none,3,0,1282.171269999817
5,none,3,0,1281.5443510003388
5,none,3,0,1781.7300159996375
5,none,3,0,1782.8089260002598
5,none,3,0,1280.641709999647
5,none,3,0,1282.0180909996852
5,none,3,0,1283.544974999968
5,none,3,0,1783.5218560001813
5,none,3,0,1781.9290209999308
5,none,3,0,1281.3338089999743
5,none,3,0,1283.7146290000528
5,none,3,0,1281.5940159996971
5,none,3,0,1280.607732000295
5,none,4,0,1280.3899789997377
5,none,4,0,1282.3025729996152
5,none,4,0,1281.6120380000211
5,none,4,0,1279.4251379999332
5,none,4,0,1282.4828650001436
5,none,4,0,1282.2551699997857
5,none,4,0,1282.7807710003108
5,none,4,0,1281.3370509999804
5,none,4,0,1281.2285170000978
5,none,4,0,1281.4217719999142
5,none,4,0,1284.597674000077
5,none,4,0,1280.5948729999363
5,none,4,0,1279.286247999873
5,none,4,0,1280.9394200001843
5,none,4,0,1281.856856000144
5,none,4,0,1281.5714030000381
5,none,4,0,1280.1411450002342
5,none,4,0,1281.2090869997628
5,none,4,0,1281.7126060002483
5,none,4,0,1281.672272999771
5,none,5,0,1279.3454060000367
5,none,5,0,1282.6051260000095
5,none,5,0,1282.2032059999183
5,none,5,0,1284.1070520002395
5,none,5,0,1283.2375560002401
5,none,5,0,1281.7431069999002
5,none,5,0,1280.780439000111
5,none,5,0,1282.0637730001472
5,none,5,0,1283.0280909999274
5,none,5,0,1284.064902999904
5,none,5,0,1281.5871219998226
5,none,5,0,1279.7190489997156
5,none,5,0,1279.9271980002522
5,none,5,0,1281.7522330000065
5,none,5,0,1281.5728170000948
5,none,5,0,1280.0392599999905
5,none,5,0,1282.12355200015
5,none,5,0,1282.2105430001393
5,none,5,0,1281.7772220000625
5,none,5,0,1282.2097110003233
