timestamp_ms,elapsed_ms,ram_mb,cpu_percent
1749990538870,3420,4,9.29
1749990539426,3976,6,6.47
1749990539870,4420,6,2.11
1749990540369,4919,7,3.83
1749990540870,5420,7,1.88
1749990541370,5920,7,2.96
1749990541870,6420,7,1.01
1749990542370,6920,7,0.97
1749990542870,7420,7,0.98
1749990543369,7919,7,0.98
1749990543870,8420,7,0.97
1749990544370,8920,7,0.98
1749990544871,9421,7,0.99
1749990545372,9922,7,0.98
1749990545872,10422,7,0.95
1749990546372,10922,7,0.98
1749990546872,11422,7,0.98
1749990547372,11922,7,0.94
1749990547872,12422,7,0.95
1749990548372,12922,7,0.91
1749990548872,13422,7,0.94
1749990549372,13922,7,0.93
1749990549872,14422,7,0.92
1749990550372,14922,7,0.88
1749990550872,15422,7,0.94
1749990551372,15922,7,0.94
1749990551872,16422,7,0.85
1749990552372,16922,7,0.87
1749990552872,17422,7,0.93
1749990553371,17921,7,0.92
1749990553872,18422,7,0.86
1749990554372,18922,7,0.94
1749990554872,19422,8,6.25
1749990555372,19922,8,3.41
1749990555872,20422,8,1.69
1749990556371,20921,8,2.46
1749990556871,21421,8,1.00
1749990557372,21922,8,0.97
1749990560806,25356,8,0.93
1749990561305,25855,8,0.93
1749990561806,26356,8,0.96
1749990562306,26856,8,1.00
1749990562806,27356,8,0.99
1749990563306,27856,8,0.93
1749990563805,28355,8,0.99
1749990564306,28856,8,0.93
1749990564806,29356,8,0.89
1749990565306,29856,8,0.89
1749990565806,30356,8,0.91
1749990566306,30856,8,0.95
1749990566806,31356,8,0.94
1749990567306,31856,8,0.92
1749990567805,32355,8,1.11
1749990568305,32855,8,0.94
1749990568806,33356,8,0.95
1749990569306,33856,4,2.85
1749990569806,34356,4,1.70
1749990570306,34856,4,0.93
1749990570806,35356,4,0.92
1749990571305,35855,4,0.92
1749990571805,36355,4,0.91
1749990572306,36856,4,0.97
1749990572805,37355,5,6.24
1749990573306,37856,5,3.39
1749990573806,38356,6,1.64
1749990574305,38855,6,2.73
1749990574805,39355,6,1.00
1749990575306,39856,6,0.92
1749990575806,40356,6,0.95
1749990576306,40856,6,0.96
1749990576806,41356,6,0.95
1749990577306,41856,6,0.91
1749990577805,42355,6,0.93
1749990578305,42855,6,0.92
1749990578805,43355,6,0.99
1749990579305,43855,6,0.94
1749990579805,44355,6,1.03
1749990580305,44855,6,0.86
1749990580805,45355,6,0.88
1749990581305,45855,6,0.89
1749990581806,46356,6,0.93
1749990582306,46856,6,0.86
1749990582806,47356,6,0.91
1749990583306,47856,6,0.95
1749990583806,48356,6,0.89
1749990584306,48856,6,0.90
1749990584806,49356,6,0.89
1749990585306,49856,6,0.89
1749990585807,50357,6,0.91
1749990586307,50857,6,0.89
1749990586807,51357,6,0.90
1749990587306,51856,6,0.89
1749990587806,52356,7,6.14
1749990588306,52856,7,3.30
1749990588807,53357,7,1.66
1749990589306,53856,7,2.78
1749990589807,54357,7,1.00
1749990590307,54857,7,0.90
1749990590807,55357,7,0.91
1749990591307,55857,7,0.91
1749990591807,56357,7,0.95
1749990592306,56856,7,0.94
1749990592807,57357,7,0.96
1749990596241,60791,7,0.92
1749990596741,61291,7,0.94
1749990597241,61791,7,1.00
1749990597742,62292,7,0.94
1749990598242,62792,7,0.96
1749990598742,63292,7,0.94
1749990599241,63791,7,1.00
1749990599741,64291,7,0.92
1749990600241,64791,7,1.01
1749990600742,65292,7,0.93
1749990601242,65792,7,0.89
1749990601743,66293,7,1.13
1749990602242,66792,7,0.86
1749990602742,67292,7,0.85
1749990603242,67792,7,0.87
1749990603742,68292,7,0.90
1749990604242,68792,7,0.91
1749990604742,69292,7,0.88
1749990605242,69792,7,0.93
1749990605743,70293,4,7.35
1749990606243,70793,4,3.80
1749990606744,71294,4,1.72
1749990607243,71793,5,2.67
1749990607744,72294,5,1.00
1749990608244,72794,5,0.94
1749990608744,73294,5,0.95
1749990609244,73794,5,0.97
1749990609744,74294,5,1.39
1749990610244,74794,5,0.99
1749990610744,75294,5,0.98
1749990611244,75794,5,0.93
1749990611744,76294,5,0.98
1749990612244,76794,5,1.05
1749990612744,77294,5,0.91
1749990613244,77794,5,0.92
1749990613744,78294,5,1.05
1749990614244,78794,5,0.94
1749990614745,79295,5,0.93
1749990615244,79794,5,0.88
1749990615744,80294,5,0.90
1749990616244,80794,5,0.89
1749990616745,81295,5,0.92
1749990617246,81796,5,0.93
1749990617745,82295,5,1.11
1749990618245,82795,5,0.94
1749990618746,83296,5,0.96
1749990619245,83795,5,0.89
1749990619745,84295,5,0.88
1749990620245,84795,5,0.97
1749990620745,85295,5,6.19
1749990621245,85795,6,3.39
1749990621745,86295,6,1.75
1749990622245,86795,6,2.55
1749990622745,87295,6,0.95
1749990623245,87795,6,0.93
1749990623745,88295,6,0.96
1749990624245,88795,6,0.93
1749990624745,89295,6,1.00
1749990625245,89795,6,0.88
1749990625745,90295,6,1.09
1749990626245,90795,6,0.99
1749990626745,91295,6,0.98
1749990627245,91795,6,0.93
1749990627745,92295,6,0.97
1749990631179,95729,6,0.93
1749990631679,96229,6,0.88
1749990632179,96729,6,0.88
1749990632680,97230,6,1.01
1749990633180,97730,6,0.95
1749990633681,98231,6,0.89
1749990634181,98731,6,0.86
1749990634681,99231,6,0.92
1749990635181,99731,6,0.87
1749990635681,100231,6,0.91
1749990636181,100731,6,0.87
1749990636681,101231,6,0.96
1749990637181,101731,6,0.88
1749990637681,102231,6,0.92
1749990638181,102731,6,0.89
1749990638681,103231,7,6.32
1749990639181,103731,7,3.22
1749990639681,104231,7,1.60
1749990640181,104731,7,2.75
1749990640681,105231,7,1.05
1749990641181,105731,7,0.94
1749990641681,106231,7,1.01
1749990642181,106731,7,0.92
1749990642681,107231,7,0.96
1749990643182,107732,7,0.91
1749990643681,108231,7,0.86
1749990644181,108731,7,0.98
1749990644681,109231,7,1.11
1749990645181,109731,7,0.91
1749990645681,110231,7,0.91
1749990646181,110731,7,0.91
1749990646681,111231,7,0.88
1749990647181,111731,7,0.92
1749990647681,112231,7,0.90
1749990648181,112731,7,0.92
1749990648681,113231,7,0.98
1749990649181,113731,7,0.91
1749990649681,114231,7,0.96
1749990650181,114731,7,0.91
1749990650681,115231,7,0.90
1749990651181,115731,7,0.86
1749990651681,116231,7,0.85
1749990652181,116731,7,0.87
1749990652681,117231,7,0.94
1749990653181,117731,7,0.93
1749990653681,118231,4,7.12
1749990654181,118731,4,3.78
1749990654680,119230,4,1.64
1749990655181,119731,5,2.54
1749990655681,120231,5,0.90
1749990656181,120731,5,0.89
1749990656681,121231,5,1.09
1749990657181,121731,5,0.91
1749990657681,122231,5,0.92
1749990658181,122731,5,0.90
1749990658681,123231,5,0.94
1749990659181,123731,5,0.92
1749990659681,124231,5,0.93
1749990660181,124731,5,0.88
1749990660681,125231,5,1.05
1749990661181,125731,5,0.85
1749990661681,126231,5,0.87
1749990662181,126731,5,0.87
1749990662681,127231,5,0.84
1749990663181,127731,5,0.87
1749990666615,131165,5,0.87
1749990667115,131665,5,0.84
1749990667615,132165,5,0.98
1749990668115,132665,5,1.09
1749990668615,133165,4,1.01
1749990669114,133664,4,0.83
1749990669614,134164,4,0.90
1749990670114,134664,4,0.98
1749990670614,135164,4,0.89
1749990671115,135665,4,1.01
1749990671614,136164,5,6.15
1749990672115,136665,6,3.28
1749990672614,137164,6,1.61
1749990673115,137665,6,2.49
1749990673615,138165,6,0.96
1749990674115,138665,6,0.97
1749990674615,139165,6,0.94
1749990675115,139665,6,0.95
1749990675615,140165,6,1.07
1749990676115,140665,6,0.96
1749990676615,141165,6,0.93
1749990677116,141666,6,0.93
1749990677615,142165,6,0.96
1749990678116,142666,6,0.92
1749990678616,143166,6,0.93
1749990679116,143666,6,0.95
1749990679616,144166,6,1.05
1749990680116,144666,6,0.92
1749990680616,145166,6,0.91
1749990681116,145666,6,0.91
1749990681616,146166,6,0.88
1749990682116,146666,6,0.90
1749990682616,147166,6,0.94
1749990683116,147666,6,0.88
1749990683616,148166,6,0.90
1749990684115,148665,6,0.84
1749990684616,149166,6,0.81
