timestamp_ms,elapsed_ms,ram_mb,cpu_percent
1749988511635,5943,5,2.66
1749988512135,6443,6,4.63
1749988512635,6943,6,2.64
1749988513135,7443,6,5.60
1749988513635,7943,6,1.06
1749988514136,8444,6,1.01
1749988514636,8944,6,1.01
1749988515136,9444,6,1.08
1749988515636,9944,6,1.08
1749988516136,10444,6,1.06
1749988516636,10944,7,1.16
1749988517135,11443,7,1.04
1749988517635,11943,7,1.00
1749988518136,12444,7,1.11
1749988518635,12943,7,0.99
1749988519136,13444,7,1.09
1749988519636,13944,7,0.95
1749988520136,14444,7,0.99
1749988520636,14944,7,0.98
1749988521136,15444,7,1.00
1749988521636,15944,7,0.94
1749988522136,16444,7,1.11
1749988522635,16943,7,1.04
1749988523135,17443,7,0.96
1749988523635,17943,7,0.99
1749988524135,18443,7,1.01
1749988524635,18943,7,0.96
1749988525135,19443,7,0.97
1749988525636,19944,6,1.17
1749988526136,20444,6,0.96
1749988526636,20944,6,0.95
1749988527136,21444,6,0.99
1749988527636,21944,6,0.98
1749988528136,22444,6,4.86
1749988528636,22944,6,0.98
1749988529136,23444,6,0.97
1749988529636,23944,6,1.10
1749988530136,24444,6,1.16
1749988530636,24944,6,1.09
1749988531136,25444,6,0.99
1749988531636,25944,6,0.99
1749988532136,26444,7,1.01
1749988532636,26944,7,0.98
1749988533136,27444,7,0.94
1749988533636,27944,7,0.97
1749988534136,28444,7,1.15
1749988534636,28944,7,1.02
1749988535136,29444,7,1.06
1749988535636,29944,7,0.99
1749988536136,30444,7,1.00
1749988536637,30945,7,0.92
1749988537137,31445,7,1.03
1749988537637,31945,7,0.96
1749988538137,32445,7,1.05
1749988538637,32945,6,1.11
1749988539137,33445,5,2.05
1749988539636,33944,5,1.81
1749988540136,34444,5,1.01
1749988540636,34944,5,1.40
1749988541136,35444,5,1.03
1749988541636,35944,5,1.02
1749988542136,36444,5,0.91
1749988542636,36944,5,0.95
1749988546070,40378,5,4.43
1749988546570,40878,5,1.01
1749988547071,41379,5,0.94
1749988547571,41879,5,0.94
1749988548070,42378,5,1.01
1749988548570,42878,5,1.58
1749988549070,43378,5,0.92
1749988549571,43879,5,0.94
1749988550071,44379,5,1.00
1749988550571,44879,5,1.03
1749988551071,45379,5,1.02
1749988551571,45879,6,0.99
1749988552070,46378,6,1.03
1749988552570,46878,6,1.07
1749988553070,47378,6,1.07
1749988553570,47878,6,0.92
1749988554070,48378,6,0.95
1749988554570,48878,6,1.03
1749988555070,49378,6,1.02
1749988555570,49878,6,1.02
1749988556070,50378,6,1.04
1749988556570,50878,6,1.05
1749988557070,51378,5,1.10
1749988557571,51879,5,1.00
1749988558071,52379,5,1.01
1749988558571,52879,5,1.03
1749988559071,53379,5,1.05
1749988559571,53879,5,1.03
1749988560071,54379,5,1.01
1749988560571,54879,5,0.95
1749988561070,55378,6,4.18
1749988561570,55878,6,0.97
1749988562070,56378,6,0.98
1749988562570,56878,6,0.98
1749988563071,57379,6,1.02
1749988563571,57879,6,3.00
1749988564071,58379,6,0.95
1749988564571,58879,6,0.97
1749988565071,59379,6,1.06
1749988565571,59879,6,0.95
1749988566072,60380,6,0.98
1749988566572,60880,6,0.99
1749988567072,61380,6,0.97
1749988567572,61880,6,1.01
1749988568071,62379,6,1.00
1749988568571,62879,6,1.00
1749988569071,63379,6,0.98
1749988569571,63879,6,0.99
1749988570071,64379,6,0.95
1749988570571,64879,6,1.01
1749988571071,65379,6,0.98
1749988571571,65879,6,1.12
1749988572072,66380,6,0.95
1749988572572,66880,6,0.99
1749988573071,67379,6,1.52
1749988573572,67880,6,1.23
1749988574072,68380,6,1.21
1749988574572,68880,6,1.00
1749988575071,69379,6,0.92
1749988575571,69879,6,0.90
1749988576072,70380,6,4.38
1749988576572,70880,6,0.95
1749988577071,71379,6,0.97
1749988577571,71879,7,0.99
1749988578071,72379,7,0.96
1749988581505,75813,7,3.87
1749988582005,76313,7,0.97
1749988582505,76813,7,1.02
1749988583005,77313,7,1.11
1749988583504,77812,6,1.13
1749988584004,78312,6,1.04
1749988584504,78812,6,0.97
1749988585005,79313,6,0.99
1749988585505,79813,6,1.00
1749988586005,80313,6,1.02
1749988586505,80813,6,0.98
1749988587006,81314,6,1.09
1749988587506,81814,6,1.02
1749988588006,82314,7,1.05
1749988588506,82814,7,0.95
1749988589006,83314,7,1.04
1749988589506,83814,7,1.00
1749988590006,84314,7,1.02
1749988590506,84814,7,1.02
1749988591006,85314,7,1.02
1749988591507,85815,7,1.10
1749988592006,86314,7,1.03
1749988592506,86814,6,1.10
1749988593006,87314,6,1.02
1749988593506,87814,6,1.02
1749988594006,88314,7,4.26
1749988594505,88813,7,0.96
1749988595006,89314,7,1.02
1749988595506,89814,7,0.96
1749988596005,90313,7,0.97
1749988596506,90814,7,1.01
1749988597007,91315,7,1.39
1749988597507,91815,7,0.99
1749988598007,92315,7,1.01
1749988598507,92815,7,1.00
1749988599007,93315,7,1.04
1749988599507,93815,7,1.01
1749988600008,94316,7,0.98
1749988600508,94816,7,0.99
1749988601008,95316,7,0.98
1749988601508,95816,5,1.64
1749988602008,96316,5,0.91
1749988602508,96816,5,0.94
1749988603008,97316,5,1.17
1749988603508,97816,5,0.94
1749988604008,98316,5,0.95
1749988604508,98816,5,0.97
1749988605008,99316,5,0.96
1749988605508,99816,5,0.96
1749988606008,100316,5,0.98
1749988606508,100816,5,0.98
1749988607008,101316,5,1.29
1749988607508,101816,6,0.95
1749988608007,102315,6,0.93
1749988608508,102816,6,0.93
1749988609008,103316,6,4.11
1749988609509,103817,6,0.91
1749988610008,104316,6,0.97
1749988610508,104816,6,0.97
1749988611009,105317,6,1.05
1749988611509,105817,6,0.97
1749988612009,106317,6,2.07
1749988612509,106817,6,0.97
