timestamp_ms,elapsed_ms,ram_mb,cpu_percent
1749991979538,3009,5,2.62
1749991980039,3510,6,4.29
1749991980539,4010,6,2.36
1749991981040,4511,6,5.20
1749991981540,5011,6,0.96
1749991982041,5512,6,0.97
1749991982540,6011,6,0.98
1749991983040,6511,6,1.00
1749991983540,7011,6,0.98
1749991984041,7512,6,0.99
1749991984541,8012,6,0.96
1749991985042,8513,6,0.95
1749991985542,9013,6,0.94
1749991986042,9513,7,0.90
1749991986542,10013,7,0.91
1749991987042,10513,7,0.91
1749991987542,11013,7,0.93
1749991988043,11514,7,0.89
1749991988543,12014,7,0.90
1749991989043,12514,7,0.91
1749991989543,13014,7,0.91
1749991990044,13515,7,0.93
1749991990544,14015,7,0.95
1749991991044,14515,7,0.90
1749991991544,15015,7,0.89
1749991992045,15516,7,0.88
1749991992544,16015,7,0.90
1749991993044,16515,7,0.90
1749991993544,17015,7,0.91
1749991994044,17515,7,0.93
1749991994544,18015,7,0.96
1749991995045,18516,6,1.04
1749991995544,19015,6,0.89
1749991996044,19515,6,4.36
1749991996544,20015,6,1.01
1749991997044,20515,6,1.12
1749991997544,21015,6,0.97
1749991998045,21516,6,0.88
1749991998544,22015,6,0.89
1749991999044,22515,6,0.89
1749991999544,23015,6,0.90
1749992000044,23515,6,0.91
1749992003478,26949,6,0.93
1749992003978,27449,6,0.90
1749992004478,27949,6,0.89
1749992004978,28449,6,0.90
1749992005478,28949,6,0.90
1749992005979,29450,6,0.89
1749992006479,29950,6,0.88
1749992006979,30450,7,0.97
1749992007479,30950,7,1.08
1749992007980,31451,7,1.04
1749992008479,31950,7,0.89
1749992008979,32450,7,0.90
1749992009479,32950,7,0.87
1749992009979,33450,5,1.89
1749992010479,33950,5,1.73
1749992010979,34450,5,0.87
1749992011479,34950,5,0.89
1749992011979,35450,5,0.89
1749992012479,35950,5,0.89
1749992012979,36450,5,0.89
1749992013479,36950,5,1.18
1749992013979,37450,5,4.67
1749992014479,37950,6,1.31
1749992014979,38450,6,0.98
1749992015479,38950,6,1.07
1749992015980,39451,6,0.99
1749992016479,39950,6,1.08
1749992016979,40450,5,1.04
1749992017480,40951,5,1.04
1749992017980,41451,5,1.09
1749992018480,41951,5,0.99
1749992018980,42451,5,0.92
1749992019480,42951,5,0.89
1749992019980,43451,5,0.92
1749992020480,43951,6,0.90
1749992020980,44451,6,0.91
1749992021481,44952,6,0.91
1749992021980,45451,6,0.84
1749992022480,45951,6,0.93
1749992022980,46451,6,0.90
1749992023480,46951,6,0.93
1749992023980,47451,6,0.95
1749992024481,47952,6,0.94
1749992024980,48451,6,0.90
1749992025481,48952,6,0.88
1749992025981,49452,6,0.91
1749992026482,49953,6,0.92
1749992026981,50452,5,1.00
1749992027481,50952,5,0.90
1749992027981,51452,5,0.87
1749992028480,51951,5,0.92
1749992028981,52452,6,4.07
1749992029481,52952,6,0.89
1749992029981,53452,6,0.91
1749992030481,53952,6,0.91
1749992030981,54452,6,0.90
1749992031481,54952,6,0.93
1749992031982,55453,6,0.94
1749992032482,55953,6,0.94
1749992032982,56453,6,0.93
1749992033482,56953,6,0.95
1749992033982,57453,6,1.01
1749992034482,57953,6,1.10
1749992034982,58453,6,1.03
1749992035482,58953,6,0.98
1749992038916,62387,6,0.98
1749992039416,62887,6,0.95
1749992039916,63387,6,0.98
1749992040416,63887,6,1.00
1749992040915,64386,6,1.09
1749992041416,64887,6,0.97
1749992041916,65387,6,1.11
1749992042416,65887,6,1.19
1749992042917,66388,6,1.03
1749992043417,66888,6,0.98
1749992043917,67388,6,1.20
1749992044418,67889,6,1.31
1749992044917,68388,6,1.55
1749992045418,68889,6,1.69
1749992045918,69389,7,1.45
1749992046418,69889,7,1.53
1749992046918,70389,6,6.86
1749992047418,70889,6,1.20
1749992047919,71390,6,1.22
1749992048419,71890,6,1.20
1749992048918,72389,6,1.06
1749992049419,72890,6,1.06
1749992049919,73390,7,1.48
1749992050419,73890,7,1.02
1749992050919,74390,7,1.18
1749992051419,74890,7,1.03
1749992051919,75390,7,1.01
1749992052420,75891,7,1.00
1749992052920,76391,7,1.03
1749992053419,76890,7,1.06
1749992053920,77391,6,1.13
1749992054420,77891,6,1.04
1749992054920,78391,6,1.10
1749992055420,78891,6,1.04
1749992055920,79391,6,1.09
1749992056420,79891,7,1.15
1749992056919,80390,7,1.03
1749992057420,80891,7,1.06
1749992057920,81391,7,1.00
1749992058420,81891,7,0.99
1749992058920,82391,7,1.11
1749992059420,82891,7,1.13
1749992059920,83391,7,0.98
1749992060420,83891,7,1.06
1749992060920,84391,7,1.16
1749992061420,84891,7,1.07
1749992061920,85391,7,4.40
1749992062420,85891,7,0.98
1749992062920,86391,7,1.09
1749992063420,86891,7,1.23
1749992063920,87391,7,0.96
1749992064421,87892,7,1.01
1749992064921,88392,7,1.71
1749992065421,88892,7,1.84
1749992065921,89392,7,1.71
1749992066421,89892,7,1.36
1749992066921,90392,7,1.72
1749992067420,90891,5,1.95
1749992067921,91392,5,0.94
1749992068421,91892,5,0.97
1749992068921,92392,5,0.92
1749992069421,92892,5,0.90
1749992069921,93392,5,0.93
1749992070421,93892,5,0.92
1749992073854,97325,5,1.18
1749992074355,97826,6,0.92
1749992074854,98325,6,0.91
1749992075355,98826,6,0.90
1749992075854,99325,6,1.41
1749992076355,99826,6,1.11
1749992076855,100326,5,1.27
1749992077354,100825,6,0.87
1749992077855,101326,6,0.94
1749992078354,101825,6,0.92
1749992078854,102325,6,1.17
1749992079355,102826,6,0.93
1749992079855,103326,6,4.00
1749992080354,103825,6,0.93
1749992080855,104326,6,0.94
1749992081354,104825,6,0.96
1749992081855,105326,6,0.99
1749992082354,105825,6,0.92
1749992082855,106326,6,0.91
