run,app,profile,timestamp,issue_count,initialTTVF,TTVF
2,cloud,3G,2025-06-15T14:19:19.758Z,50,861.8539299999829,716.9899679999799
2,cloud,Fiber FTTC,2025-06-15T14:19:26.782Z,250,1521.487540000002,1473.9697719999822
2,cloud,4G,2025-06-15T14:19:31.244Z,250,1429.255783999979,1652.507862999977
2,cloud,3G,2025-06-15T14:19:36.450Z,250,1503.7996259999927,1442.0573999999906
3,cloud,Fiber FTTC,2025-06-15T14:19:38.970Z,10,642.9623860000283,678.3632829999551
3,cloud,4G,2025-06-15T14:19:41.592Z,10,616.2449049999705,651.1270239999867
3,cloud,3G,2025-06-15T14:19:45.342Z,10,748.5458360000048,781.4703609999851
3,cloud,Fiber FTTC,2025-06-15T14:19:47.872Z,50,776.8512479999918,664.3299729999853
3,cloud,4G,2025-06-15T14:19:50.596Z,50,632.8081399999792,722.1172640000004
3,cloud,3G,2025-06-15T14:19:54.599Z,50,796.6893380000256,775.4974389999988
3,cloud,Fiber FTTC,2025-06-15T14:20:01.628Z,250,1474.4103870000108,1536.6259019999998
3,cloud,4G,2025-06-15T14:20:05.827Z,250,1427.7086610000115,1351.6322710000095
3,cloud,3G,2025-06-15T14:20:11.326Z,250,1583.6444759999868,1618.579555000004
4,cloud,Fiber FTTC,2025-06-15T14:20:13.740Z,10,649.4516289999592,698.0390200000256
4,cloud,4G,2025-06-15T14:20:16.378Z,10,623.2654849999817,687.7707979999832
4,cloud,3G,2025-06-15T14:20:20.073Z,10,724.9224209999666,598.7980779999634
4,cloud,Fiber FTTC,2025-06-15T14:20:22.509Z,50,684.1496320000151,668.8251870000386
4,cloud,4G,2025-06-15T14:20:25.105Z,50,675.8452849999885,648.4317199999932
4,cloud,3G,2025-06-15T14:20:29.091Z,50,867.7722910000011,684.9771010000259
4,cloud,Fiber FTTC,2025-06-15T14:20:36.079Z,250,1459.0273249999736,1505.4430759999668
4,cloud,4G,2025-06-15T14:20:40.394Z,250,1572.9184569999925,1420.168645000027
4,cloud,3G,2025-06-15T14:20:46.210Z,250,1583.0312010000343,1470.3430609999923
5,cloud,Fiber FTTC,2025-06-15T14:20:48.579Z,10,638.9115180000081,703.6514249999891
5,cloud,4G,2025-06-15T14:20:51.134Z,10,625.9804480000166,560.932611999975
5,cloud,3G,2025-06-15T14:20:55.165Z,10,694.3647210000199,625.6536799999885
5,cloud,Fiber FTTC,2025-06-15T14:20:57.729Z,50,773.1100190000143,690.32231399999
5,cloud,4G,2025-06-15T14:21:00.799Z,50,909.8638689999934,777.1664389999933
5,cloud,3G,2025-06-15T14:21:04.674Z,50,769.3693110000459,768.1532100000186
5,cloud,Fiber FTTC,2025-06-15T14:21:11.884Z,250,1554.260409999988,1544.4837190000108
5,cloud,4G,2025-06-15T14:21:16.334Z,250,1586.3859060000395,1445.1912330000196
5,cloud,3G,2025-06-15T14:21:21.790Z,250,1687.2395310000284,1417.963516000018
