run,app,profile,timestamp,issue_count,initialTTVF,TTVF
2,cloud,3G,2025-06-13T14:02:40.109Z,50,862.5042799999937,854.9697160000214
2,cloud,Fiber FTTC,2025-06-13T14:02:44.497Z,250,1486.0396719999844,1766.0643680000212
2,cloud,4G,2025-06-13T14:02:49.070Z,250,1624.6362350000418,1508.6193889999995
2,cloud,3G,2025-06-13T14:02:57.666Z,250,1707.312213999976,1606.7890680000419
3,cloud,Fiber FTTC,2025-06-13T14:03:00.745Z,10,731.7205299999914,1202.6682290000026
3,cloud,4G,2025-06-13T14:03:03.454Z,10,747.6440210000146,693.6018690000055
3,cloud,3G,2025-06-13T14:03:07.303Z,10,789.8628030000255,677.1193000000203
3,cloud,Fiber FTTC,2025-06-13T14:03:10.162Z,50,865.1503200000152,854.1575989999692
3,cloud,4G,2025-06-13T14:03:13.134Z,50,834.3879629999865,745.1475450000144
3,cloud,3G,2025-06-13T14:03:17.225Z,50,1010.9654659999651,782.7023599999957
3,cloud,Fiber FTTC,2025-06-13T14:03:21.725Z,250,1644.5551160000032,1600.5425430000178
3,cloud,4G,2025-06-13T14:03:26.381Z,250,1576.7043410000042,1619.2725670000073
3,cloud,3G,2025-06-13T14:03:34.934Z,250,1669.1278269999893,1596.1367309999769
4,cloud,Fiber FTTC,2025-06-13T14:03:37.586Z,10,836.5939190000063,696.2676620000275
4,cloud,4G,2025-06-13T14:03:40.725Z,10,781.7125359999482,677.5807799999602
4,cloud,3G,2025-06-13T14:03:44.683Z,10,922.9022079999559,658.166379000002
4,cloud,Fiber FTTC,2025-06-13T14:03:47.338Z,50,775.3504609999945,814.8633990000235
4,cloud,4G,2025-06-13T14:03:50.541Z,50,837.9066640000092,873.6957529999781
4,cloud,3G,2025-06-13T14:03:54.558Z,50,866.9808900000062,850.5479690000066
4,cloud,Fiber FTTC,2025-06-13T14:03:58.963Z,250,1686.7211970000062,1668.7026270000497
4,cloud,4G,2025-06-13T14:04:03.710Z,250,1646.1512729999959,1754.3697610000381
4,cloud,3G,2025-06-13T14:04:12.589Z,250,1722.778560000006,1835.0350340000005
5,cloud,Fiber FTTC,2025-06-13T14:04:15.270Z,10,749.3742290000082,752.5693839999731
5,cloud,4G,2025-06-13T14:04:18.187Z,10,788.4622519999975,660.6680929999566
5,cloud,3G,2025-06-13T14:04:22.076Z,10,826.3041580000427,696.3391919999849
5,cloud,Fiber FTTC,2025-06-13T14:04:24.824Z,50,806.5165280000074,805.6195069999667
5,cloud,4G,2025-06-13T14:04:27.722Z,50,798.5044099999941,796.6625319999876
5,cloud,3G,2025-06-13T14:04:31.879Z,50,860.9544529999839,916.7584539999953
5,cloud,Fiber FTTC,2025-06-13T14:04:36.613Z,250,1865.4185909999069,1654.7583500000183
5,cloud,4G,2025-06-13T14:04:44.237Z,250,1681.8289090000326,1630.0947410000954
5,cloud,3G,2025-06-13T14:04:49.844Z,250,1603.5287450000178,1572.5773940000217
