timestamp_ms,elapsed_ms,ram_mb,cpu_percent
1749989279586,3460,4,11.11
1749989280085,3959,5,2.68
1749989280587,4461,6,7.12
1749989281085,4959,7,3.53
1749989281586,5460,7,2.26
1749989282086,5960,7,1.18
1749989282586,6460,7,3.81
1749989283086,6960,7,1.03
1749989283585,7459,7,1.19
1749989284086,7960,7,1.22
1749989284586,8460,7,1.01
1749989285086,8960,7,1.07
1749989285586,9460,7,1.03
1749989286086,9960,7,0.98
1749989286586,10460,7,1.00
1749989287086,10960,7,1.02
1749989287587,11461,7,0.94
1749989288086,11960,7,0.96
1749989288586,12460,7,1.00
1749989289086,12960,7,0.95
1749989289586,13460,7,0.94
1749989290086,13960,7,0.95
1749989290586,14460,7,0.91
1749989291086,14960,7,1.04
1749989294522,18396,7,0.97
1749989295022,18896,7,1.00
1749989295522,19396,7,1.01
1749989296022,19896,7,0.94
1749989296523,20397,7,1.06
1749989297022,20896,7,1.05
1749989297522,21396,7,0.92
1749989298022,21896,7,0.96
1749989298522,22396,8,6.36
1749989299022,22896,8,3.48
1749989299522,23396,8,1.66
1749989300022,23896,8,2.76
1749989300522,24396,8,1.18
1749989301022,24896,8,1.04
1749989301523,25397,8,1.08
1749989302023,25897,8,1.11
1749989302523,26397,8,1.21
1749989303023,26897,8,0.96
1749989303523,27397,8,1.05
1749989304023,27897,8,0.96
1749989304523,28397,8,0.96
1749989305023,28897,8,1.08
1749989305523,29397,8,0.96
1749989306024,29898,8,0.93
1749989306523,30397,8,0.93
1749989307023,30897,8,0.91
1749989307523,31397,8,0.88
1749989308023,31897,8,0.90
1749989308523,32397,8,0.85
1749989309023,32897,8,0.90
1749989309523,33397,8,0.95
1749989310023,33897,4,3.09
1749989310522,34396,4,2.25
1749989311023,34897,4,0.87
1749989311523,35397,4,0.95
1749989312023,35897,4,0.89
1749989312523,36397,4,0.88
1749989313023,36897,4,0.95
1749989313523,37397,5,6.21
1749989314023,37897,5,3.34
1749989314523,38397,6,1.66
1749989315023,38897,6,2.72
1749989315523,39397,6,1.23
1749989316023,39897,6,0.96
1749989316524,40398,6,0.99
1749989317024,40898,6,0.92
1749989317524,41398,6,0.96
1749989318024,41898,6,0.95
1749989318524,42398,6,0.93
1749989319024,42898,6,0.97
1749989319525,43399,6,0.96
1749989320025,43899,6,0.98
1749989320525,44399,6,0.98
1749989321025,44899,6,0.99
1749989321525,45399,6,1.06
1749989322025,45899,6,0.91
1749989322525,46399,6,0.96
1749989323025,46899,6,0.97
1749989323526,47400,6,1.06
1749989324026,47900,6,0.94
1749989324526,48400,6,0.93
1749989325026,48900,6,0.90
1749989325526,49400,6,0.94
1749989326027,49901,6,0.93
1749989329458,53332,6,0.98
1749989329958,53832,6,0.93
1749989330459,54333,6,1.05
1749989330958,54832,6,0.98
1749989331458,55332,6,6.36
1749989331958,55832,7,3.18
1749989332458,56332,7,1.77
1749989332958,56832,7,2.68
1749989333459,57333,7,1.21
1749989333959,57833,7,1.02
1749989334458,58332,7,1.00
1749989334958,58832,7,0.98
1749989335458,59332,7,0.98
1749989335959,59833,7,1.08
1749989336459,60333,7,0.98
1749989336959,60833,7,1.02
1749989337458,61332,7,1.01
1749989337958,61832,7,0.95
1749989338458,62332,7,0.96
1749989338959,62833,7,0.91
1749989339459,63333,7,0.94
