issueCount,syncInterval,run,createTTVF,updateTTVF
5,60,1,0,26.64135400000032
5,60,1,0,4.567910000001575
5,60,1,0,4.859423000001698
5,60,1,0,3.8014279999988503
5,60,1,0,3.8580000000001746
5,60,1,0,3.948696999999811
5,60,1,0,3.8547560000006342
5,60,1,0,4.335966999991797
5,60,1,0,3.7704740000044694
5,60,1,0,3.6989160000230186
5,60,1,0,24.85216599999694
5,60,1,0,3.59636799999862
5,60,1,0,4.50396799997543
5,60,1,0,3.5146999999997206
5,60,1,0,25.19087399999262
5,60,1,0,3.9960940000019036
5,60,1,0,24.582532000000356
5,60,1,0,3.786661999998614
5,60,1,0,3.599099999992177
5,60,1,0,3.676780999987386
5,60,2,0,4.343518999987282
5,60,2,0,5.962210999976378
5,60,2,0,5.454996999993455
5,60,2,0,4.726956999977119
5,60,2,0,5.058223000029102
5,60,2,0,6.053668999986257
5,60,2,0,4.302383000031114
5,60,2,0,4.164755999983754
5,60,2,0,3.9862299999804236
5,60,2,0,3.6743980000028387
5,60,2,0,24.867930999957025
5,60,2,0,3.741152999980841
5,60,2,0,4.97562000004109
5,60,2,0,3.8606679999502376
5,60,2,0,5.255802999949083
5,60,2,0,4.2545000000391155
5,60,2,0,3.837413000059314
5,60,2,0,24.333806000067852
5,60,2,0,4.521805000025779
5,60,2,0,6.317023999989033
5,60,3,0,25.116153999930248
5,60,3,0,4.580155999981798
5,60,3,0,25.47055199998431
5,60,3,0,25.525309999939054
5,60,3,0,25.917905999929644
5,60,3,0,24.376224000006914
5,60,3,0,24.966572999954224
5,60,3,0,25.295695999986492
5,60,3,0,4.36222699994687
5,60,3,0,24.58098400000017
5,60,3,0,23.795105999917723
5,60,3,0,4.432987999985926
5,60,3,0,4.114224000019021
5,60,3,0,4.216102999984287
5,60,3,0,3.702527999994345
5,60,3,0,4.373693000059575
5,60,3,0,24.720213999971747
5,60,3,0,3.941071000066586
5,60,3,0,3.45783400000073
5,60,3,0,24.3577290000394
5,60,4,0,24.13897500000894
5,60,4,0,24.402586999814957
5,60,4,0,25.218527999939397
5,60,4,0,4.494912999914959
5,60,4,0,24.696602000156417
5,60,4,0,25.298170999856666
5,60,4,0,4.1357189998961985
5,60,4,0,24.36670000012964
5,60,4,0,3.920648999977857
5,60,4,0,3.7584130000323057
5,60,4,0,4.893061999930069
5,60,4,0,4.364115000003949
5,60,4,0,24.792185000143945
5,60,4,0,24.666620000032708
5,60,4,0,25.05867199995555
5,60,4,0,4.491695000091568
5,60,4,0,3.6395209999755025
5,60,4,0,3.741114999866113
5,60,4,0,3.5324729999992996
5,60,4,0,24.47503300011158
5,60,5,0,25.249912000028417
5,60,5,0,25.406371999997646
5,60,5,0,24.17117500002496
5,60,5,0,25.10187299991958
5,60,5,0,24.702283000107855
5,60,5,0,24.09911200008355
5,60,5,0,25.180865000002086
5,60,5,0,24.97154500009492
5,60,5,0,4.178284999914467
5,60,5,0,3.865231999894604
5,60,5,0,23.779974000062793
5,60,5,0,4.222886000061408
5,60,5,0,4.068358000135049
5,60,5,0,24.67345799994655
5,60,5,0,24.759453000035137
5,60,5,0,25.18253599992022
5,60,5,0,3.8439120000693947
5,60,5,0,3.8763139999937266
5,60,5,0,24.212063000071794
5,60,5,0,3.883866000222042
