timestamp_ms,elapsed_ms,ram_mb,cpu_percent
1749857403727,3010,5,2.64
1749857404227,3510,6,4.35
1749857404728,4011,6,1.59
1749857405227,4510,7,9.16
1749857405727,5010,7,1.06
1749857406228,5511,7,1.06
1749857406727,6010,7,1.08
1749857407227,6510,7,1.09
1749857407727,7010,7,1.10
1749857408228,7511,7,1.08
1749857408727,8010,7,1.05
1749857412812,12095,7,0.99
1749857413313,12596,7,0.98
1749857413812,13095,7,0.95
1749857414312,13595,7,1.01
1749857414812,14095,8,1.02
1749857415312,14595,8,1.04
1749857415812,15095,8,1.01
1749857416312,15595,8,1.01
1749857416812,16095,6,1.09
1749857417312,16595,6,0.99
1749857417812,17095,6,0.99
1749857418312,17595,6,1.03
1749857418813,18096,6,0.97
1749857419312,18595,6,1.01
1749857419812,19095,6,0.97
1749857420312,19595,6,0.99
1749857420812,20095,7,6.89
1749857421312,20595,7,0.98
1749857421812,21095,7,1.01
1749857422312,21595,7,1.00
1749857422812,22095,7,0.97
1749857423312,22595,7,0.94
1749857423812,23095,7,1.00
1749857424313,23596,7,0.99
1749857424812,24095,7,1.00
1749857425313,24596,7,1.03
1749857425814,25097,7,1.02
1749857426314,25597,7,1.02
1749857426814,26097,7,1.00
1749857427314,26597,7,0.99
1749857427814,27097,7,1.02
1749857428314,27597,7,1.00
1749857428814,28097,7,1.02
1749857429314,28597,7,6.70
1749857429814,29097,7,1.00
1749857430314,29597,7,0.98
1749857430814,30097,7,0.99
1749857431315,30598,7,0.99
1749857431815,31098,7,0.99
1749857432314,31597,7,1.01
1749857432814,32097,7,1.02
1749857433314,32597,7,1.02
1749857433814,33097,7,1.03
1749857434314,33597,7,1.04
1749857434814,34097,5,2.28
1749857435314,34597,5,1.90
1749857435814,35097,5,1.00
1749857436314,35597,5,1.00
1749857436815,36098,5,1.01
1749857437316,36599,5,0.99
1749857437816,37099,5,1.00
1749857438316,37599,5,1.00
1749857438817,38100,5,1.00
1749857439316,38599,5,0.97
1749857439817,39100,5,1.02
1749857440316,39599,5,0.99
1749857440816,40099,5,1.01
1749857441316,40599,6,7.07
1749857441816,41099,6,0.98
1749857442317,41600,6,0.94
1749857442816,42099,6,1.08
1749857443316,42599,6,1.02
1749857443817,43100,6,1.01
1749857444316,43599,6,1.03
