timestamp_ms,elapsed_ms,ram_mb,cpu_percent
1749939287561,3013,5,1.64
1749939288061,3513,6,5.66
1749939288561,4013,6,1.70
1749939289061,4513,7,9.92
1749939289561,5013,7,1.10
1749939290061,5513,7,1.12
1749939290561,6013,7,0.99
1749939291061,6513,7,1.07
1749939291561,7013,7,1.04
1749939292061,7513,7,1.06
1749939292562,8014,7,0.94
1749939293061,8513,7,0.94
1749939293561,9013,7,0.91
1749939294061,9513,7,0.92
1749939294562,10014,7,1.20
1749939295062,10514,7,0.95
1749939295562,11014,7,0.94
1749939296062,11514,7,0.91
1749939296563,12015,7,0.91
1749939297063,12515,7,0.92
1749939297562,13014,7,0.91
1749939298062,13514,7,0.95
1749939298562,14014,7,0.93
1749939299062,14514,8,0.99
1749939299562,15014,8,0.96
1749939300062,15514,8,0.93
1749939300563,16015,6,1.05
1749939301062,16514,8,7.35
1749939301562,17014,8,1.03
1749939302062,17514,8,0.99
1749939302562,18014,8,0.90
1749939303062,18514,7,1.04
1749939303562,19014,7,0.94
1749939304062,19514,7,0.95
1749939304562,20014,7,0.89
1749939305063,20515,7,0.89
1749939305563,21015,7,0.94
1749939306064,21516,7,0.94
1749939306564,22016,7,0.90
1749939307064,22516,7,0.91
1749939307564,23016,7,0.86
1749939308064,23516,7,0.92
1749939308564,24016,7,0.94
1749939309065,24517,7,0.94
1749939309566,25018,7,0.91
1749939310066,25518,7,0.93
1749939310566,26018,7,0.89
1749939311066,26518,7,0.91
1749939311566,27018,7,0.94
1749939312066,27518,7,0.92
1749939312567,28019,7,0.92
1749939313067,28519,7,7.36
1749939313567,29019,7,0.96
1749939314068,29520,8,0.98
1749939314568,30020,8,0.90
1749939315068,30520,5,2.26
1749939315568,31020,5,1.88
1749939319001,34453,5,1.17
1749939319502,34954,6,1.66
1749939320002,35454,5,1.53
1749939320502,35954,6,1.58
1749939321001,36453,6,1.41
1749939321502,36954,6,1.30
1749939322001,37453,6,1.91
1749939322502,37954,6,0.95
1749939323002,38454,6,1.01
1749939323502,38954,6,0.90
1749939324002,39454,6,0.92
1749939324502,39954,6,0.93
1749939325003,40455,6,0.97
1749939325503,40955,6,0.94
1749939326003,41455,6,0.93
1749939326503,41955,6,0.99
1749939327003,42455,6,0.97
1749939327503,42955,6,0.96
1749939328003,43455,7,7.55
1749939328504,43956,7,0.99
1749939329005,44457,7,0.91
1749939329505,44957,7,0.95
1749939330004,45456,7,0.99
1749939330505,45957,7,0.90
1749939331005,46457,7,0.93
1749939331505,46957,7,0.92
1749939332005,47457,7,0.96
1749939332505,47957,7,1.04
1749939333005,48457,7,0.96
1749939333506,48958,7,0.98
1749939334006,49458,7,0.91
1749939334506,49958,7,0.88
1749939335007,50459,7,0.97
1749939335507,50959,7,0.95
1749939336007,51459,7,0.91
