timestamp_ms,elapsed_ms,ram_mb,cpu_percent
1749865839628,3440,4,10.00
1749865840129,3941,6,5.91
1749865840629,4441,5,1.87
1749865841128,4940,6,2.28
1749865841628,5440,6,1.32
1749865842128,5940,7,6.28
1749865842628,6440,7,3.29
1749865843128,6940,7,1.73
1749865843628,7440,7,3.25
1749865844128,7940,7,1.05
1749865844628,8440,7,1.08
1749865845129,8941,7,1.05
1749865845628,9440,7,1.06
1749865846129,9941,7,1.06
1749865846628,10440,7,1.01
1749865847129,10941,7,1.05
1749865847629,11441,7,1.05
1749865848128,11940,7,1.05
1749865848628,12440,7,1.06
1749865849129,12941,7,1.02
1749865849628,13440,7,0.97
1749865850128,13940,7,0.97
1749865850629,14441,7,0.99
1749865851128,14940,7,0.99
1749865851628,15440,7,1.00
1749865852128,15940,9,3.54
1749865852629,16441,9,1.58
1749865853128,16940,10,2.01
1749865853629,17441,10,1.26
1749865854129,17941,8,6.16
1749865854629,18441,9,3.09
1749865855129,18941,10,1.68
1749865855629,19441,9,3.13
1749865856130,19942,9,1.04
1749865856631,20443,9,1.02
1749865857130,20942,9,1.07
1749865857630,21442,9,0.99
1749865858130,21942,9,0.98
1749865858630,22442,9,0.97
1749865859131,22943,9,0.97
1749865859630,23442,9,0.98
1749865860131,23943,9,1.02
1749865860631,24443,9,1.35
1749865861130,24942,9,0.98
1749865861630,25442,9,0.97
1749865862130,25942,9,0.99
1749865862630,26442,9,0.95
1749865863131,26943,9,0.97
1749865863630,27442,9,1.00
1749865864131,27943,9,3.53
1749865864631,28443,10,1.54
1749865868717,32529,4,3.31
1749865869216,33028,5,1.24
1749865869717,33529,6,5.79
1749865870216,34028,7,3.09
1749865870717,34529,7,1.64
1749865871216,35028,6,3.20
1749865871717,35529,6,1.01
1749865872217,36029,6,0.95
1749865872717,36529,6,0.99
1749865873216,37028,6,1.02
1749865873716,37528,6,0.93
1749865874216,38028,6,0.99
1749865874716,38528,6,0.97
1749865875217,39029,6,0.99
1749865875718,39530,6,1.04
1749865876217,40029,6,3.78
1749865876717,40529,4,2.61
1749865877217,41029,5,1.15
1749865877722,41534,5,8.93
1749865878217,42029,6,1.73
1749865878717,42529,6,3.01
